publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Journal of Law, Religion and State","2212-6465","2212-4810",2012-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22124810",,"","","full text","","Brill"
"Art & Perception ","2213-4905","2213-4913",,,,,,,"http://booksandjournals.brillonline.com/content/22134913",,"","","full text","new 2013. no online content yet available","Brill"
"Bijdragen tot de Land-, Taal- en Volkenkunde","0006-2294","2213-4379",,,,,,,"http://booksandjournals.brillonline.com/content/22134379",,"","","full text","OA. take over 2013. no online content yet available","Brill"
"Cahiers de Linguistique Asie Orientale / Oriental Languages and Linguistics ","0153-3320","1960-6028",,,,,,,"http://booksandjournals.brillonline.com/content/19606028",,"","","full text","take over 2013. no online content yet available","Brill"
"European Journal of Comparative Law and Governance ","2213-4506","2213-4514",,,,,,,"http://booksandjournals.brillonline.com/content/22134514",,"","","full text","new 2013. no online content yet available","Brill"
"Greek and Roman Musical Studies ","2212-974X","2212-9758",,,,,,,"http://booksandjournals.brillonline.com/content/22129758",,"","","full text","new 2013. no online content yet available","Brill"
"IAWA Journal ","0928-1541","2294-1932",,,,,,,"http://booksandjournals.brillonline.com/content/22941932",,"","","full text","Take over 2013. no online content yet available","Brill"
"Indo-European Linguistics ","2212-5884","2212-5892",,,,,,,"http://booksandjournals.brillonline.com/content/22125892",,"","","full text","OA. new 2013. no online content yet available","Brill"
"Intellectual History of the Islamicate World ","2212-9421","2212-943X",,,,,,,"http://booksandjournals.brillonline.com/content/2212943x",,"","","full text","new 2013. no online content yet available","Brill"
"Journal of Jewish Languages ","2213-4387","2213-4638",,,,,,,"http://booksandjournals.brillonline.com/content/22134638",,"","","full text","new 2013. no online content yet available","Brill"
"Korean Journal of International and Comparative Law ","2213-4478","2213-4484",,,,,,,"http://booksandjournals.brillonline.com/content/22134484",,"","","full text","new 2013. no online content yet available","Brill"
"Late Antique Archaeology ","","2213-4522",,,,,,,"http://booksandjournals.brillonline.com/content/22134522",,"","","full text","new 2013 (continuation of Book Series). no online content yet available","Brill"
"Multisensory Research","2213-4794","2213-4808",2013-01-01,,,,,,"http://booksandjournals.brillonline.com/content/22134808",,"","","full text","formerly Seeing and Perceiving","Brill"
"Proceedings of the Boston Area Colloquium in Ancient Philosophy Online ","","2213-4417",,,,,,,"http://booksandjournals.brillonline.com/content/22131417",,"","","fulltext","new 2013. no online content yet available","Brill"
"Sociology of Islam ","2213-140X","2213-1418",,,,,,,"http://booksandjournals.brillonline.com/content/22131418",,"","","full text","new 2013. no online content yet available","Brill"
"The New West Indian Guide","1382-2373","2213-4360",,,,,,,"http://booksandjournals.brillonline.com/content/22134360",,"","","full text","OA. take over 2013. no online content yet available","Brill"
"Timing & Time Perception ","2213-445x","2213-4468",,,,,,,"http://booksandjournals.brillonline.com/content/22134468",,"","","full text","new 2013. no online content yet available","Brill"
"Vulcan: Journal of the Social History of Military Technology ","2213-459x","2213-4603",,,,,,,"http://booksandjournals.brillonline.com/content/22134603",,"","","full text","new 2013. no online content yet available","Brill"
